,Sample,LabID,Sample.ID,Genetic.Sex,Individual.ID,Pod,pedPod,Region,MiSeq.run,Population,year,month,day,latitudeN,longitudeW,,dom.sp,prey50,TopRel
36,52196-176_S56,52196-176,2017SEP23-11,Female,L47,L,NA,WA,2019,SRKW,2017,9,23,48.42449,122.92717,48.42449_122.92717,chinook,chinook,NA
37,52196-190_S46,52196-190,2017SEP26-06,Female,L86,L,NA,WA,2019,SRKW,2017,9,26,48.89504,122.96215,48.89504_122.96215,chinook,chinook,NA
38,52196-190rep_S33,52196-190,2017SEP26-06,Female,L86,L,NA,WA,2019,SRKW,2017,9,26,48.89504,122.96215,48.89504_122.96215,chinook,chinook,NA
39,52196-189_S35,52196-189,2017SEP26-05,fail,L86,L,NA,WA,2019,SRKW,2017,9,26,48.89803,122.97893,48.89803_122.97893,chinook,chinook,NA
40,52196-129_S17,52196-129,2017SEP13-06,Female,L22,L,NA,WA,2019,SRKW,2017,9,13,48.40989,122.98726,48.40989_122.98726,chinook,chinook,NA
41,52196-205_S3,52196-205,2018SEP25-03,Male,J49,J,NA,WA,2019,SRKW,2018,9,25,48.21338,122.98989,48.21338_122.98989,coho,None,NA
42,52196-188_S24,52196-188,2017SEP26-04,Female,L86,L,NA,WA,2019,SRKW,2017,9,26,48.90693,123.01922,48.90693_123.01922,chinook,chinook,NA
43,52196-152_S63,52196-152,2017SEP11-09,Male,L85,L,NA,WA,2019,SRKW,2017,9,11,48.45519,123.02197,48.45519_123.02197,chinook,chinook,NA
44,52196-177_S66,52196-177,2017SEP23-12,Female,L47,L,NA,WA,2019,SRKW,2017,9,23,48.44903,123.03739,48.44903_123.03739,chinook,chinook,NA
45,52196-151_S52,52196-151,2017SEP11-08,Female,NA,unknown,NA,WA,2019,SRKW,2017,9,11,48.38727,123.0387,48.38727_123.0387,NA,None,NA
46,52196-126_S82,52196-126,2017SEP13-03,Male,L41,L,NA,WA,2019,SRKW,2017,9,13,48.47766,123.04076,48.47766_123.04076,chinook,chinook,NA
47,52196-153_S73,52196-153,2017SEP11-10,Male,L85,L,NA,WA,2019,SRKW,2017,9,11,48.46548,123.06393,48.46548_123.06393,chinook,chinook,NA
48,52196-204_S78,52196-204,2018SEP25-02   ,Male,J49,J,NA,WA,2019,SRKW,2018,9,25,48.45262,123.06938,48.45262_123.06938,coho,None,NA
49,52196-178_S77,52196-178,2017SEP23-13,Female,L86,L,NA,WA,2019,SRKW,2017,9,23,48.46267,123.0768,48.46267_123.0768,chinook,chinook,NA
50,52196-145_S18,52196-145,2017SEP24-26,Female,J19,J,NA,WA,2019,SRKW,2017,9,24,48.60233,123.07803,48.60233_123.07803,chinook,chinook,NA
51,52196-145rep_S74,52196-145,2017SEP24-26,Female,J19,J,NA,WA,2019,SRKW,2017,9,24,48.60233,123.07803,48.60233_123.07803,chinook,chinook,NA
52,52196-198_S57,52196-198,2018JUN12-02,fail,L115,L,NA,WA,2019,SRKW,2018,6,12,48.66377,123.08259,48.66377_123.08259,chinook,chinook,NA
53,52196-198rep_S44,52196-198,2018JUN12-02,fail,L115,L,NA,WA,2019,SRKW,2018,6,12,48.66377,123.08259,48.66377_123.08259,chinook,chinook,NA
54,52196-198repB_S76,52196-198,2018JUN12-02,fail,L115,L,NA,WA,2019,SRKW,2018,6,12,48.66377,123.08259,48.66377_123.08259,chinook,chinook,NA
55,52196-131_S40,52196-131,2017SEP13-12A,Male,52196-131,unknown,NA,WA,2019,SRKW,2017,9,13,48.47766,123.08956,48.47766_123.08956,chinook,chinook,NA
56,52196-148_S30,52196-148,2017SEP10-12,Female,L55,L,NA,WA,2019,SRKW,2017,9,10,48.48,123.09664,48.48_123.09664,chinook,chinook,NA
57,52196-148rep_S85,52196-148,2017SEP10-12,Female,L55,L,NA,WA,2019,SRKW,2017,9,10,48.48,123.09664,48.48_123.09664,chinook,chinook,NA
58,52196-130_S29,52196-130,2017SEP13-11,Male,52196-130,unknown,NA,WA,2019,SRKW,2017,9,13,48.47975,123.09732,48.47975_123.09732,chinook,chinook,NA
59,52196-161_S42,52196-161,2017SEP21-06,fail,fail,unknown,NA,WA,2019,SRKW,2017,9,21,48.97225,123.11713,48.97225_123.11713,chinook,chinook,NA
60,52196-144_S8,52196-144,2017SEP24-25,Male,L87,L,NA,WA,2019,SRKW,2017,9,24,48.69287,123.12927,48.69287_123.12927,chum,chum,NA
61,52196-202_S67,52196-202,2018SEP23-02A,fail,J53,J,NA,WA,2019,SRKW,2018,9,23,48.5309,123.1653,48.5309_123.1653,chum,chum,NA
62,52196-162_S53,52196-162,2017SEP22-05,Female,L113,L,NA,WA,2019,SRKW,2017,9,22,48.29802,123.16637,48.29802_123.16637,chinook,chinook,NA
63,52196-163_S1,52196-163,2017SEP22-06,fail,L113,L,NA,WA,2019,SRKW,2017,9,22,48.28417,123.18365,48.28417_123.18365,chinook,chinook,NA
64,52196-163b_S64,52196-163,2017SEP22-06,fail,L113,L,NA,WA,2019,SRKW,2017,9,22,48.28417,123.18365,48.28417_123.18365,chinook,chinook,NA
65,52196-163rep_S11,52196-163,2017SEP22-06,fail,L113,L,NA,WA,2019,SRKW,2017,9,22,48.28417,123.18365,48.28417_123.18365,chinook,chinook,NA
66,2017Sep10-02_S19,2017Sep10-02,2017Sep10-02,Male,L106,L,NA,WA,2018,SRKW,2017,9,10,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
67,2017Sep10-06_S28,52196-045,2017Sep10-06,Undetermined,L116,L,NA,WA,2018,SRKW,2017,9,10,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
68,2017Sep10-11_S37,52196-046,2017Sep10-11,Undetermined,L118,L,NA,WA,2018,SRKW,2017,9,10,48.556775,123.230931,48.556775_123.230931,chum,chum,NA
69,2017Sep13-01_S46,52196-047,2017Sep13-01,Undetermined,L25,L,NA,WA,2018,SRKW,2017,9,13,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
70,2018AUG12-01-A_S6,52196-099,2018AUG12-01-A,Undetermined,J16,J,NA,WA,2018,SRKW,2018,8,12,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
71,2018AUG12-01-B_S15,52196-100,2018AUG12-01-B,Undetermined,J16,J,NA,WA,2018,SRKW,2018,8,12,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
72,2018JUN11-01_S24,52196-101,2018JUN11-01,Undetermined,unknown,"J,L",NA,WA,2018,SRKW,2018,6,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
73,2018JUN11-02_S33,52196-102,2018JUN11-02,Undetermined,J40,J,NA,WA,2018,SRKW,2018,6,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
74,2018JUN11-03_S42,52196-103,2018JUN11-03,Undetermined,unknown,"J,L",NA,WA,2018,SRKW,2018,6,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
75,2018JUN11-04A_S51,52196-104,2018JUN11-04A,Undetermined,J40,J,NA,WA,2018,SRKW,2018,6,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
76,2018JUN11-04B_S59,52196-105,2018JUN11-04B,Undetermined,J40,J,NA,WA,2018,SRKW,2018,6,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
77,2018JUN11-05A_S67,52196-106,2018JUN11-05A,Undetermined,J17,J,NA,WA,2018,SRKW,2018,6,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
78,2018JUN11-05B_S7,52196-107,2018JUN11-05B,Undetermined,J17,J,NA,WA,2018,SRKW,2018,6,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
79,2018JUN11-07_S16,52196-109,2018JUN11-07,Undetermined,J17,J,NA,WA,2018,SRKW,2018,6,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
80,2018JUN11-08_S25,52196-110,2018JUN11-08,Undetermined,J17,J,NA,WA,2018,SRKW,2018,6,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
81,2018JUN11-10_S34,52196-112,2018JUN11-10,Undetermined,J49,J,NA,WA,2018,SRKW,2018,6,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
82,2018JUN11-11A_S43,52196-113,2018JUN11-11A,Undetermined,J49,J,NA,WA,2018,SRKW,2018,6,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
83,2018JUN11-11B_S52,52196-114,2018JUN11-11B,Undetermined,J49,J,NA,WA,2018,SRKW,2018,6,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
84,2018JUN11-13A_S60,52196-116,2018JUN11-13A,Undetermined,L87,L,NA,WA,2018,SRKW,2018,6,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
85,2018JUN11-13B_S68,52196-117,2018JUN11-13B,Undetermined,L87,L,NA,WA,2018,SRKW,2018,6,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
86,2018JUN14-05_S8,52196-118,2018JUN14-05,Undetermined,unknown,J,NA,WA,2018,SRKW,2018,6,14,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
87,2018JUN14-08_S17,52196-121,2018JUN14-08,Undetermined,J46,J,NA,WA,2018,SRKW,2018,6,14,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
88,2018JUN14-10_S26,52196-122,2018JUN14-10,Undetermined,J36,J,NA,WA,2018,SRKW,2018,6,14,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
89,2018JUN15-02_S35,52196-123,2018JUN15-02,Undetermined,J40,J,NA,WA,2018,SRKW,2018,6,15,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
90,52389-16_S11,52389-16,2020Sep11-03,Undetermined,fail,K,NA,WA,2021P2,SRKW,2020,9,11,48.556775,123.230931,48.556775_123.230931,coho,coho,NA
91,52389-18_12,52389-18,2020Sep11-01,Undetermined,fail,K,NA,WA,2021P2,SRKW,2020,9,11,48.556775,123.230931,48.556775_123.230931,NA,None,NA
92,52390-19_S21,52390-19,2021.Sept.12.4b,Male,L106,L,NA,WA,2021P2,SRKW,2021,9,12,48.556775,123.230931,48.556775_123.230931,coho,coho,NA
93,52390-20_S22,52390-20,2021.Sep.12.4a,Male,L106,L,NA,WA,2021P2,SRKW,2021,9,12,48.556775,123.230931,48.556775_123.230931,coho,coho,NA
94,52390-24_S23,52390-24,2021Sep11-03a,Male,L115,L,NA,WA,2021P2,SRKW,2021,9,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,NA
95,52390-25_S24,52390-25,2021Sep11-02 ,Male,52389-29,"J,K,L",K,WA,2021P2,SRKW,2021,9,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,PO
96,52390-25-dup_S33,52390-25,2021Sep11-02 ,Male,52389-29,"J,K,L",K,WA,2021P2,SRKW,2021,9,11,48.556775,123.230931,48.556775_123.230931,chinook,chinook,PO
97,52390-26_S25,52390-26,2021Sep12-3a,Male,L106,L,NA,WA,2021P2,SRKW,2021,9,12,48.556775,123.230931,48.556775_123.230931,coho,coho,NA
98,52390-27_S26,52390-27,2021Sep12-02,Female,J16,J,NA,WA,2021P2,SRKW,2021,9,12,48.556775,123.230931,48.556775_123.230931,coho,coho,NA
99,52390-27-dup_S34,52390-27,2021Sep12-02,Female,J16,J,NA,WA,2021P2,SRKW,2021,9,12,48.556775,123.230931,48.556775_123.230931,coho,coho,NA
100,2017Sep24-10_S38,52196-058,2017Sep24-10,Undetermined,J42,J,NA,WA,2018,SRKW,2017,9,24,48.788544,123.339653,48.788544_123.339653,coho,None,NA
101,2017Sep24-15_S47,52196-061,2017Sep24-15,Undetermined,J42,J,NA,WA,2018,SRKW,2017,9,24,48.788544,123.339653,48.788544_123.339653,coho,None,NA
102,52196-183_S2,52196-183,2017SEP24-08,Male,NA,unknown,NA,WA,2019,SRKW,2017,9,24,48.87077,123.39289,48.87077_123.39289,chum,chum,NA
103,52196-183rep_S21,52196-183,2017SEP24-08,Male,NA,unknown,NA,WA,2019,SRKW,2017,9,24,48.87077,123.39289,48.87077_123.39289,chum,chum,NA
104,52196-138_S51,52196-138,2017SEP24-12,Female,J42,J,NA,WA,2019,SRKW,2017,9,24,48.87859,123.41077,48.87859_123.41077,chum,None,NA
105,52196-140_S62,52196-140,2017SEP24-16,Female,J42,J,NA,WA,2019,SRKW,2017,9,24,48.91728,123.45848,48.91728_123.45848,chum,None,NA
106,52196-142_S72,52196-142,2017SEP24-23,fail,J19,J,NA,WA,2019,SRKW,2017,9,24,48.91918,123.465,48.91918_123.465,chinook,chinook,NA
107,52196-185_S12,52196-185,2017SEP24-22,Female,J19,J,NA,WA,2019,SRKW,2017,9,24,48.91918,123.465,48.91918_123.465,chinook,chinook,NA
108,2017Sep21-02_S62,52196-051,2017Sep21-02,Undetermined,L106,L,NA,WA,2018,SRKW,2017,9,21,49.332905,123.959783,49.332905_123.959783,chinook,chinook,NA
109,2017Sep26-07_S55,52196-067,2017Sep26-07,Undetermined,L92,L,NA,WA,2018,SRKW,2017,9,26,49.332905,123.959783,49.332905_123.959783,chinook,chinook,NA
110,52389-15_S10,52389-15,2020Sep12-01,Male,J49,J,NA,WA,2021P2,SRKW,2020,9,1,49.332905,123.959783,49.332905_123.959783,NA,None,NA
111,52390-35_S29,52390-35,2021Oct22-04b,Female,52390-34,"J,K,L",L,WA,2021P2,SRKW,2021,10,22,48.468623,124.69409,48.468623_124.69409,sablefish,sablefish,PO
112,52390-36_S30,52390-36,2021Oct22-05b,Male,52390-36,"J,K,L",L,WA,2021P2,SRKW,2021,10,22,48.468623,124.69409,48.468623_124.69409,NA,None,PO
113,52390-39_S31,52390-39,2021Oct18-06b,Male,L115,L,NA,WA,2021P2,SRKW,2021,10,18,48.468623,124.69409,48.468623_124.69409,sablefish,sablefish,NA
114,52390-40_S32,52390-40,2021Oct18-05a,Male,52389-29,"J,K,L",K,WA,2021P2,SRKW,2021,10,18,48.468623,124.69409,48.468623_124.69409,sablefish,sablefish,PO
115,METR-20190819BOR-2_S36,METR-20190819BOR-2,NA,NA,NA,"B,G",NA,unknown,2019,NRKW,2019,8,19,48.234519,124.806547,48.234519_124.806547,NA,None,NA
116,METR-20190819BOR-5_S47,METR-20190819BOR-5,NA,NA,NA,"B,G",NA,unknown,2019,NRKW,2019,8,19,48.234519,124.806547,48.234519_124.806547,NA,None,NA
117,METR-20190819BOR-6_S58,METR-20190819BOR-6,NA,NA,NA,"B,G",NA,unknown,2019,NRKW,2019,8,19,48.234519,124.806547,48.234519_124.806547,NA,None,NA
118,METR-20190819BOR-7_S68,METR-20190819BOR-7,NA,NA,NA,"B,G",NA,unknown,2019,NRKW,2019,8,19,48.234519,124.806547,48.234519_124.806547,NA,None,NA
119,52390-28_S27,52390-28,2021Sep15-01,Male,J26,J,NA,WA,2021P2,SRKW,2021,9,15,48.45,124.25,48.45_124.25,NA,None,NA
120,52357-19_S24,52357-19,NGOS_2020_25,Male,ARKW_36,ARKW,NA,PWS,2021P1,ARKW,2020,6,14,60.293,146.702,60.293_146.702,chum,chum,NA
121,52357-1_S17,52357-01,NGOS_2020_24,Male,ARKW_37,ARKW,NA,PWS,2021P1,ARKW,2020,6,14,60.272,146.725,60.272_146.725,chum,chum,NA
122,52357-10_S22,52357-10,NGOS_2020_21,Female,ARKW_38,ARKW,NA,PWS,2021P1,ARKW,2020,6,14,60.245,146.738,60.245_146.738,chum,chum,NA
123,52357-35_S35,52357-35,NGOS_2020_35,Male,ARKW_45,ARKW,NA,PWS,2021P1,ARKW,2020,6,30,60.338,146.738,60.338_146.738,chum,chum,NA
124,52357-23_S26,52357-23,NGOS_2020_29,Male,ARKW_37,ARKW,NA,PWS,2021P1,ARKW,2020,6,21,60.416,146.854,60.416_146.854,chum,chum,NA
125,51530-026_S79,51530-026,NGOS_2018_01a,Male,ARKW_19,ARKW,NA,PWS,2019,ARKW,2018,5,9,60.336,146.882,60.336_146.882,arrowtooth,arrowtooth,NA
126,51530-027_S4,51530-027,NGOS_2018_01b,Male,ARKW_19,ARKW,NA,PWS,2019,ARKW,2018,5,9,60.336,146.882,60.336_146.882,arrowtooth,arrowtooth,NA
127,52332-21_S13,52332-21,NGOS_2019_24,Undetermined,ARKW_33,ARKW,NA,PWS,2021P1,ARKW,2019,6,19,60.292,146.883,60.292_146.883,chum,chum,NA
128,NGOS-2017-PWS2_S58,51530-021,NGOS-2017-PWS2,Female,ARKW_14,ARKW,NA,PWS,2018,ARKW,2017,6,20,60.523,146.888,60.523_146.888,chum,chum,NA
129,52357-34_S34,52357-34,NGOS_2020_32,Undetermined,ARKW_52,ARKW,NA,PWS,2021P1,ARKW,2020,6,29,60.203,146.967,60.203_146.967,chum,chum,NA
130,52357-38_S36,52357-38,NGOS_2020_33,Undetermined,ARKW_44,ARKW,NA,PWS,2021P1,ARKW,2020,6,29,60.207,146.97,60.207_146.97,NA,None,NA
131,52357-33_S33,52357-33,NGOS_2020_34,Undetermined,ARKW_44,ARKW,NA,PWS,2021P1,ARKW,2020,6,29,60.203,146.975,60.203_146.975,chum,None,NA
132,NGOS-2017-PWS1_S50,51530-020,NGOS-2017-PWS1,Female,ARKW_13,ARKW,NA,PWS,2018,ARKW,2017,6,15,60.392,146.985,60.392_146.985,arrowtooth,arrowtooth,NA
133,NGOS-2017-PWS4_S66,51530-023,NGOS-2017-PWS4,Female,ARKW_16,ARKW,NA,PWS,2018,ARKW,2017,6,22,60.37,147.23,60.37_147.23,chum,chum,NA
134,51530-052_S50,51530-052,NGOS_2018_24,Undetermined,ARKW_28,ARKW,NA,West PWS,2019,ARKW,2018,9,30,60.086,147.755,60.086_147.755,chum,chum,NA
135,51530-053_S61,51530-053,NGOS_2018_25,Undetermined,ARKW_29,ARKW,NA,West PWS,2019,ARKW,2018,9,30,60.039,147.785,60.039_147.785,chum,None,NA
136,NGOS-2016-5A_S4,51530-006,NGOS-2016-5A,Female,ARKW_05,ARKW,NA,West PWS,2018,ARKW,2016,9,13,60.12,147.79,60.12_147.79,halibut,halibut,NA
137,NGOS-2016-5B_S13,51530-007,NGOS-2016-5B,Undetermined,FAIL,ARKW,NA,West PWS,2018,ARKW,2016,9,13,60.12,147.79,60.12_147.79,halibut,halibut,NA
138,NGOS-2016-5C_S22,51530-008,NGOS-2016-5C,Female,ARKW_05,ARKW,NA,West PWS,2018,ARKW,2016,9,13,60.12,147.79,60.12_147.79,halibut,halibut,NA
139,NGOS-2016-5Crep_S31,51530-008,NGOS-2016-5C,Female,ARKW_05,ARKW,NA,West PWS,2018,ARKW,2016,9,13,60.12,147.79,60.12_147.79,halibut,halibut,NA
140,51530-054_S71,51530-054,NGOS_2018_26,Undetermined,ARKW_29,ARKW,NA,West PWS,2019,ARKW,2018,9,30,60.019,147.807,60.019_147.807,chum,None,NA
141,NGOS-2016-6A_S40,51530-009,NGOS-2016-6A,Male,ARKW_06,ARKW,NA,West PWS,2018,ARKW,2016,9,13,60.09,147.81,60.09_147.81,arrowtooth,arrowtooth,NA
142,NGOS-2016-6Arep_S49,51530-009,NGOS-2016-6A,Male,ARKW_06,ARKW,NA,West PWS,2018,ARKW,2016,9,13,60.09,147.81,60.09_147.81,arrowtooth,arrowtooth,NA
143,NGOS-2016-6B_S57,51530-010,NGOS-2016-6B,Male,ARKW_06,ARKW,NA,West PWS,2018,ARKW,2016,9,13,60.09,147.81,60.09_147.81,arrowtooth,arrowtooth,NA
144,52357-40_S37,52357-40,NGOS_2020_38,Undetermined,ARKW_54,ARKW,NA,West PWS,2021P1,ARKW,2020,7,3,60.08,147.853,60.08_147.853,chinook,chinook,NA
145,52357-24_S27,52357-24,NGOS_2020_42,Male,ARKW_42,ARKW,NA,West PWS,2021P1,ARKW,2020,9,3,60.115,147.877,60.115_147.877,chinook,chinook,NA
146,52357-32_S32,52357-32,NGOS_2020_39,Female,ARKW_43,ARKW,NA,West PWS,2021P1,ARKW,2020,8,28,59.873,147.898,59.873_147.898,coho,coho,NA
147,52358-52_S19,52358-52,NGOS_2021_44,Male,ARKW_64,ARKW,NA,West PWS,2021P2,ARKW,2021,7,2,60.332,147.987,60.332_147.987,halibut,halibut,NA
148,52358-53_S20,52358-53,NGOS_2021_43,Male,ARKW_64,ARKW,NA,West PWS,2021P2,ARKW,2021,7,2,60.325,147.99,60.325_147.99,NA,None,NA
149,52357-30_S30,52357-30,NGOS_2020_41,Female,ARKW_43,ARKW,NA,West PWS,2021P1,ARKW,2020,8,28,59.805,148.027,59.805_148.027,coho,coho,NA
150,51530-045_S6,51530-045,NGOS_2018_17,Female,ARKW_25,ARKW,NA,Kenai Fjord,2019,ARKW,2018,6,4,59.921,149.167,59.921_149.167,chum,chum,NA
151,51530-046_S16,51530-046,NGOS_2018_18,Female,ARKW_26,ARKW,NA,Kenai Fjord,2019,AOKW,2018,6,5,59.962,149.19,59.962_149.19,chinook,chinook,NA
152,51530-044_S81,51530-044,NGOS_2018_16,Undetermined,ARKW_08,ARKW,NA,Kenai Fjord,2019,ARKW,2018,5,31,59.864,149.265,59.864_149.265,chum,chum,NA
153,51530-031_S26,51530-031,NGOS_2018_05a,Male,ARKW_21,ARKW,NA,Kenai Fjord,2019,ARKW,2018,5,24,59.895,149.319,59.895_149.319,chinook,chinook,NA
154,51530-032_S37,51530-032,NGOS_2018_05b,Male,ARKW_21,ARKW,NA,Kenai Fjord,2019,ARKW,2018,5,24,59.895,149.319,59.895_149.319,chinook,chinook,NA
155,51530-036_S80,51530-036,NGOS_2018_08,Male,ARKW_03,ARKW,NA,Kenai Fjord,2019,ARKW,2018,5,27,59.796,149.367,59.796_149.367,chum,chum,NA
