"","reads.in","reads.out"
"F16July15-01_S29_L001_R1_001.fastq.gz",135407,120736
"F16July20-1_S24_L001_R1_001.fastq.gz",130954,117316
"F16Sept14-1_S26_L001_R1_001.fastq.gz",67430,60487
"F16Sept19-2A_S27_L001_R1_001.fastq.gz",149685,127703
"F16Sept19-3_S28_L001_R1_001.fastq.gz",178501,156757
"F17June25-1A_S31_L001_R1_001.fastq.gz",264777,211258
"F17May31-02A_S32_L001_R1_001.fastq.gz",220664,197029
"F18Aug11-1_S34_L001_R1_001.fastq.gz",161371,145452
"F18Aug18-1A_S35_L001_R1_001.fastq.gz",170193,149581
"F18Jul13-1_S36_L001_R1_001.fastq.gz",155420,135847
"F18Jul13-2_S37_L001_R1_001.fastq.gz",159729,143110
"F18Jul15-1A_S38_L001_R1_001.fastq.gz",90473,76414
"F18Jul15-2_S39_L001_R1_001.fastq.gz",217060,183110
"F18Jul15-5_S40_L001_R1_001.fastq.gz",202708,171008
"F18Jul27_S41_L001_R1_001.fastq.gz",152378,129152
"F18Jul30-1_S42_L001_R1_001.fastq.gz",97378,86639
"F18Jun20-1_S43_L001_R1_001.fastq.gz",30331,26875
"F18SEP23-2_S10_L001_R1_001.fastq.gz",318671,287050
"F18SEP23-3_S11_L001_R1_001.fastq.gz",445913,403089
"F18Sept17-1_S44_L001_R1_001.fastq.gz",172116,151637
"F18Sept23-1_S45_L001_R1_001.fastq.gz",176398,157174
"F18Sept25-1A_S46_L001_R1_001.fastq.gz",213649,182593
"F19Aug15-01A_S47_L001_R1_001.fastq.gz",234435,208633
"F19Aug16-01A_S48_L001_R1_001.fastq.gz",190474,171085
"F19Aug16-02A_S49_L001_R1_001.fastq.gz",258712,231882
"F19Aug17-01A_S50_L001_R1_001.fastq.gz",217288,192763
"F19Aug17-02A_S51_L001_R1_001.fastq.gz",252561,227635
"F19Aug20-02A_S52_L001_R1_001.fastq.gz",94788,84336
"F19Aug26-02A_S60_L001_R1_001.fastq.gz",122280,110334
"F19Aug29-01A_S53_L001_R1_001.fastq.gz",244139,215802
"F19Aug31-02A_S54_L001_R1_001.fastq.gz",137646,123656
"F19Jul05-01A_S58_L001_R1_001.fastq.gz",91429,80543
"F19Jul05-02A_S59_L001_R1_001.fastq.gz",116471,104687
"F19Sep21-01A_S55_L001_R1_001.fastq.gz",209458,187254
"F19Sep21-02A_S62_L001_R1_001.fastq.gz",156858,141105
"F19Sep30-01A_S56_L001_R1_001.fastq.gz",188527,169808
"F19Sep30-02A_S57_L001_R1_001.fastq.gz",107318,96367
"F19Sept05-01A_S61_L001_R1_001.fastq.gz",153454,138317
"F20Feb26-04A_S63_L001_R1_001.fastq.gz",87377,77604
"F20July06-01A_S64_L001_R1_001.fastq.gz",184058,165694
"F20July13-02A_S65_L001_R1_001.fastq.gz",194604,169755
"F20July14-01A_S66_L001_R1_001.fastq.gz",90440,80797
"F20July14-03_S37_L001_R1_001.fastq.gz",281937,235691
"F20Mar09-01A_S38_L001_R1_001.fastq.gz",493999,448356
"F20Sept03-02_S39_L001_R1_001.fastq.gz",424425,385770
"F20Sept03-04_S40_L001_R1_001.fastq.gz",195121,177054
"F20Sept11-01_S41_L001_R1_001.fastq.gz",474465,410257
"F21SEP09-01B_S38_L001_R1_001.fastq.gz",277104,224430
"F21SEP11-01B_S1_L001_R1_001.fastq.gz",149877,118927
"F21SEP12-01C-K33_S42_L001_R1_001.fastq.gz",228973,180104
"F21SEP15-01A_S39_L001_R1_001.fastq.gz",367959,297907
"F22AUG05-01A-Post_S2_L001_R1_001.fastq.gz",227940,206597
"F22JUL22-01B_S37_L001_R1_001.fastq.gz",344461,281756
"F22JUL24-03A-Post_S1_L001_R1_001.fastq.gz",257201,234636
