LabID,FieldID,Rep,Sample_Type,Weight_g ,IndID_SDZWA,Extraction_Notes,Sample_Color,DNA_Concentration_Extract_(ng/uL),PCR1_success_training,PCR1_success_0702,PCR1_success_0715,PCR1_success_0716,PCR1_success_0718,PCR1_success_0724,PCR1_success_0725,Extract_cleaned,Cleaned_concentration
WADE-002-060,F18Aug18.1 (32),1,Lyophilized,0.102,J27,,Beige,1.08,N,NA,NA,NA,N,NA,NA,N,NA
WADE-002-061,F18Sep23.2 (33),1,Lyophilized,0.102,unk,,Green,2.12,N,NA,NA,NA,NA,NA,N,Y,0.788
WADE-002-062,F19Aug16.01,1,Lyophilized,0.102,unk,,Green,23.8,N,N,N,N,N,NA,N,Y,6.14
WADE-002-063,F19Aug16.03,2,Lyophilized,NA,unk,,Beige,55,NA,NA,NA,NA,NA,NA,N,Y,41.3
WADE-002-063,F19Aug16.03,1,Lyophilized,0.1,unk,,Beige,0.566,N,NA,NA,N,N,NA,NA,N,NA
WADE-002-064,F19Aug16.04,2,Lyophilized,NA,unk,,Brown,8.2,NA,NA,NA,NA,NA,N,N,N,0.171
WADE-002-064,F19Aug16.04,1,Lyophilized,0.1,unk,,Brown,0.578,N,NA,NA,NA,NA,NA,NA,Y,NA
WADE-002-065,F19Aug16.05,2,Lyophilized,NA,unk,,Yellow,18.7,NA,N,N,N,N,NA,N,Y,11.7
WADE-002-065,F19Aug16.05,1,Lyophilized,0.104,unk,,Yellow,0.27,N,NA,NA,NA,NA,NA,NA,N,NA
WADE-002-066,F19Aug17.03,1,Lyophilized,0.1,unk,,Beige,2.18,NA,NA,NA,NA,NA,NA,NA,Y,0.66
WADE-002-067,F19Aug20.03,1,Lyophilized,0.108,unk,,Green,5.57,NA,NA,NA,NA,NA,NA,N,Y,0.374
WADE-002-068,F24JUN27.01A,1,Wet scoop,NA,unk,,unk,1.96,NA,NA,NA,NA,NA,N,NA,N,NA
WADE-002-069,F24MAR22.01A,1,Wet scoop,NA,unk,,unk,14.2,NA,N,N,N,N,NA,N,Y,12.4
WADE-002-070,F24JUN01.01A,1,Wet scoop,NA,unk,,unk,too high,NA,NA,NA,N,Y,NA,NA,N,NA
WADE-002-071,F24JUN01.04B,1,Wet scoop,NA,unk,,unk,21.1,NA,N,N,N,N,NA,N,Y,8.92
WADE-002-072,F24JUN01.02A,1,Wet scoop,NA,unk,,unk,13.4,NA,Y,Y,NA,NA,NA,NA,N,NA
WADE-002-073,F24MAY27.02A,1,Wet scoop,NA,unk,,unk,19.3,NA,Y,Y,NA,NA,NA,NA,N,NA
WADE-002-074,F24JUN01.03A,1,Wet scoop,NA,unk,,unk,53,NA,NA,NA,Y,Y,NA,NA,N,NA
WADE-002-075,F24MAY27.04A,1,Wet scoop,NA,unk,,Clear,44.3,NA,NA,NA,N,N,NA,Y,Y,30.6
WADE-002-076,F24APR26.01A,1,Wet scoop,NA,unk,,Clear,too high,NA,NA,NA,N,N,NA,Y,Y,too high
WADE-002-077,F24MAY27.04A,1,Wet scoop,NA,unk,,Clear,too high,NA,NA,NA,N,N,NA,Y,Y,54
WADE-002-078,F24MAY27.01A,1,Wet scoop,NA,unk,,unk,40.9,NA,NA,NA,N,Y,NA,NA,N,NA
